ID,name,address,postcode,phone,email,website,opening,referral_required,delivery_option,category,support,referral_link,info,lat,long
16,Church on the Corner,1-5 Buchanan Road,S58AP,0114 2452970,churchonthecornerfoodbank@gmail.com,www.churchonthecorner.com,Thursday 10.00 - 11.00,1.0,0.0,foodbank,,,,53.4223,-1.4706
17,International Worship Centre,"470 Bellhouse Road, Shiregreen",S50RF,0114 246 9934,worship.icwcentre@gmail.com,icwc.co.uk/food_bank,Saturday 10.30 - 12.30,0.0,0.0,foodbank,,icwc.co.uk/food_bank,Self-referral or a referral from a supporting organisation,53.4277,-1.4419
18,Longley 4G,"Longley 4 Greens Community Centre, Southey Avenue, Sheffield",S57NN,07908 400 398,food@longley4g.org.uk,www.longley4g.org.uk,Wednesday 10.00 - 14.00,1.0,1.0,foodbank/ social grocery/ social cafe,,www.longley4g.org.uk/what-we-can-offer,"Self-referral or a referral from a supporting organisation (sent before 4pm on Tuesday)
a membership for £4 for 8 consecutive weeks of shopping, and an additional £3 donation each time you shop (can select your own shopping).",53.4176,-1.4717
19,Stannington,Stanwood Methodist Church,S65HZ,"07706 285280
07754 254462","jane_wall@hotmail.co.uk
janestann@outlook.com",www.facebook.com/Stannington-Foodbank-112968863665554/,Monday 12.00 - 13.00,0.0,0.0,foodbank/ frozen ready meals,,,"No referral needed, but need proof of address (Stannington area and close by) and evidence of how many people are living in the household if more than one person. 
£1 donation per ready frozen meal",53.3932,-1.5241
20,Jordanthorpe,240 Lowedges road,S87JB,07580 516512,office@gracefoodbanksheffield.org.uk,www.gracefoodbanksheffield.org.uk,Tuesday 10.30 - 11.30,1.0,1.0,foodbank,,gracefoodbanksheffield.org.uk/help.html#refer,,53.3206,-1.4911
21,New Hope,"Unit 3 Norwood Industrial Estate, Rotherham Close, Killamarsh",S212JU,07939 950713,michelle.nhcc@outlook.com,www.newhopecommunity.co.uk/Groups/294928/Foodbank.aspx,Monday to Friday 9.00 - 17.00,1.0,1.0,foodbank,,,"Need a referral, deliveries only",53.3297,-1.302
22,Handsworth,"Grace Church Sheffield, 1 Richmond Road, Handsworth",S138TB,07599 878715,foodbank@gracechurchsheffield.co.uk,www.gracechurchsheffield.co.uk/foodbank,"Tuesday 12.00 - 14.00
Thursday 16.00 - 18.00",1.0,1.0,foodbank,,data.foodbank.org.uk/,,53.3705,-1.3884
23,S20,"S20 Information Station, Roche Meeting Rooms, Shortbrook Drive, Westfield",S208ND,07732 823028,s20foodbank@gmail.com,www.facebook.com/S20foodbank/,Monday to Friday 9.00 - 12.00,1.0,0.0,foodbank,,"docs.google.com/document/d/1VkthgL2l4D-Nl3radHeCirohzg8x55C5/edit?usp=drive_link&ouid=117240701431035123745&rtpof=true&sd=true
","Need a referral, can apply for up to 4 food parcels",53.3308,-1.3495
24,St Saviour's,"St Saviours Church, Mortomley Lane, High Green",S353HS,07561 699535,warden@stsaviours.info,http://stsaviours.info/food-bank/,Friday 13.00 - 15.00,1.0,0.0,foodbank,,drive.google.com/file/d/1-jGelWNal22WjlsF6uYLl5VUi9Pq-Wlt/view?usp=drive_link,Up to 3 ‘self referral’ emergency parcels (contact foodbank first) then need a referral,53.4727,-1.4838
25,Stocksbridge,"Ikon Campus, Manchester Road Stocksbridge",S362DU,07912 609 791,coordinator.foodmatters@gmail.com,stocksbridgefoodbank.org/,"Tuesday 10.00 - 12.00
Thursday 10.00 - 12.00",1.0,0.0,foodbank,,wordpress.com/page/stocksbridgefoodbank.org/29,"No Referrals needed for the first 2 months, walk-in",53.4822,-1.5919
26,Food Works Handsworth,"Unit 12-14, Portland Business Park, 130 Richmond Park Rd, Sheffield",S138HS,07542 379 246,info@thefoodworks.org,thefoodworks.org/handsworth/,"Sunday to Tuesday 11.00 - 14.00
Wednesday to Saturday 11.00 - 15.00",0.0,0.0,social grocery/ ready meals,,,"No referral needed, minimum donation £1",53.3743,-1.3948
27,Food Works Sharrow,"Sharrow Community Forum
Old Junior School
South View Road",S71DB,07542 379 246,sharrow@thefoodworks.org,thefoodworks.org/sharrow/,"Monday to Tuesday 09.00-14.00
Wednesday to Friday 09.00-15.00",0.0,0.0,ready meals,Lunch 12.00 - 14.00,,"No referral needed, minimum donation £1",53.3663,-1.479
28,Food Works Upperthorpe,"Zest Centre
18 Upperthorpe
Sheffield",S63NA,0114 270 2040,upperthorpe@thefoodworks.org,thefoodworks.org/upperthorpe/,"Tuesday                     09.00 - 14.00
Wednesday to Friday 09.00 - 15.00",0.0,0.0,ready meals,Lunch 12.00 - 14.00,,"No referral needed, minimum donation £1",53.3897,-1.4887
29,St Mary's Community,"Bramall Lane
Sheffield",S24QZ,0114 223 0223,admin@stmarys-church.co.uk,www.stmarys-church.co.uk/items-1/social-supermarket,"Tuesday 10.30 - 14.00
Wednesday 10.00 - 14.00",1.0,0.0,social grocery/ ready meals,,,"Contact the grocery for a referral (curently 10 weeks waiting list)
hot meals for £1",53.3725,-1.4717
30,FoodCycle Broomhall,"Broomhall Centre
Broomspring Lane
Sheffield",S102FD,,broomhall@foodcycle.org.uk,foodcycle.org.uk/location/foodcycle-sheffield-broomhall/,Wednesday 12.30,0.0,0.0,community meals,,,No referral needed. Free meat-free hot meals,53.3784,-1.4873
31,FoodCycle Parson Cross,"Mount Tabor Methodist Church
Wordsworth Avenue
Sheffield",S58NJ,,parsoncross@foodcycle.org.uk,foodcycle.org.uk/location/foodcycle-sheffield-parson-cross/,Tuesday 18.30,0.0,0.0,community meals,,,No referral needed. Free meat-free hot meals,53.4252,-1.4856
32,Ben's Centre,"22 Wilkinson Street
Sheffield",S102GB,0114 279 9961,benscentre@hotmail.co.uk,www.benscentre.org/day-centre,Monday to Friday 10.30 - 14.30,0.0,0.0,community meals,hot meals 12.30-13.00,,"Free hot meal and access to clothing at the Day Centre.
For people having alcohol/drug issues only!",53.3795,-1.4855
33,PXI - Parson Cross Initiative,"Mount Tabor Methodist Church, Wordsworth Ave
Parson Cross
Sheffield",S58NJ,0114 281 5799,pxi.enquiries@gmail.com,pxiprojects.wordpress.com/,Tuesday         12.00 – 15.30,0.0,0.0,Foodbank/ community meals,Free vegetarian meals 18:30 - 20:30,,No referral needed. £1 donation if possible,53.4252,-1.4856
34,The Link Community Hub,"83 Stradbroke Drive
Stradbroke
Sheffield",S138SE,07973 837664,admin@thelinkcommunity.org,thefoodworks.org/stradbroke-partner-hub/,"Tuesday         11.00 – 14.00
Thursday       11.00 – 14.00",,,Emergency food parcels,,,emailed them on 15/08/2023,53.3609,-1.3944
35,The Foundation Community Grocery,"The Hope Centre, Bernard Road, Sheffield",S25BQ,01143 767511,sheffield@communitygrocery.org.uk,communitygrocery.org.uk/sheffield/,Monday to Friday 10.00 – 15.00,0.0,0.0,Community grocery,,,,53.3856,-1.4507
